Plan_ID,Plan_Name,Plan_Type,Category,Base_Price,Setup_Fee,Contract_Required,Data_Allowance,Voice_Minutes,SMS_Allowance,Features,Target_Segment,Roaming_Included
5G_MULTI_100GB,5G Multi-SIM 100GB,Postpaid,Mobile,308,0,24,100GB,Unlimited,Unlimited,"5G,Multi_SIM_2,Enhanced_Features",Family,China_Macau
5G_STUDENT,5G Student Plan,Postpaid,Mobile,148,0,24,50GB,Unlimited,Unlimited,"5G,Campus_Data,China_Macau_3GB",Student,China_Macau
5G_BB_BASIC,5G Broadband Basic,Postpaid,Fixed,148,0,24,300GB,,,"5G,Fair_Usage,5G_Router",Consumer,
5G_BB_UNLIMITED,5G Broadband Unlimited,Postpaid,Fixed,196,0,24,Unlimited,,,"5G,WiFi6_Router",Consumer,
BIZ_5G_BB,Business 5G Broadband,Postpaid,Fixed,198,0,24,Unlimited,,,"5G,24x7_Support",Enterprise,
VAS_APAC_UPGRADE,Asia Pacific Data Upgrade,Add-on,VAS,28,0,0,,,,"35_Destinations,Japan_Taiwan_Thailand_Korea",All,Asia_Pacific
VAS_VIDEO_STREAM,Infinite Video Streaming Pack,Add-on,VAS,38,0,0,Unlimited,,,"Unlimited_Streaming,Designated_Apps",All,
VAS_CHINA_ROAM,China & Macau Data Roaming,Add-on,VAS,38,0,0,,,,All_3_China_Networks,All,China_Macau
VAS_HANDSET_SWITCH,Handset Switch Service,Add-on,VAS,50,0,0,,,,"Device_Replacement,Any_Reason",All,
VAS_DEVICE_PLUS,Device Protection Plus,Add-on,VAS,35,0,0,,,,"Water_Damage,Accidental_Damage",All,
VAS_CLOUD_200GB,Cloud Storage 200GB,Add-on,VAS,25,0,0,,,,"Auto_Backup,Bill_to_3_Rebate",All,
PREPAID_LOCAL_168,Local Prepaid SIM 1GB,Prepaid,Mobile,168,0,0,1GB,Per use billing,Per use billing,"4G_LTE,30_Days_Validity",Tourist,Local_Only
PREPAID_LOCAL_248,Local Prepaid SIM 2GB,Prepaid,Mobile,248,0,0,2GB,Per use billing,Per use billing,"4G_LTE,30_Days_Validity",Tourist,Local_Only
PREPAID_LOCAL_298,Local Prepaid SIM 3GB,Prepaid,Mobile,298,0,0,3GB,Per use billing,Per use billing,"4G_LTE,30_Days_Validity",Tourist,Local_Only
PREPAID_TRAVEL_268,Travel SIM Multi-Region,Prepaid,Mobile,268,0,0,Varies,Per use billing,Per use billing,"Multi_Region,365_Days_Validity",Travel,Multi_Region
SMARTWATCH_ESIM_18,Smart Watch eSIM Individual,Add-on,VAS,18,0,0,Shared,Shared,Shared,"Apple_Watch,Samsung_Galaxy_Watch,Same_Number",All,Local_Only
SMARTWATCH_ESIM_22,Smart Watch eSIM Family,Add-on,VAS,22,0,12,Unlimited,Unlimited,Unlimited,"Apple_Watch,New_Number,Family_Setup",Family,Local_Only
VAS_DEVICE_UPGRADE,Device Upgrade Service,Add-on,VAS,0,18,24,,,,"Handset_Upgrade,Annual_Eligibility",Existing_Customers,
VAS_TRADE_IN,Device Trade-in Service,Service,VAS,0,0,0,,,,"7_Days_Defective_Trade,Same_Model_Replace",All,
